,Name,Online_Order,Book_Table,Rating,Votes,Location,Rest_Type,Dish_Liked,Cuisines,Approx_Cost,Type
18524,The Kitchen,Yes,No,3.6,9,Koramangala 1st Block,Quick Bites,NA,North Indian,300,Dine-out
18528,Dine With Singhs,No,No,0,0,Koramangala 1st Block,Quick Bites,NA,"North Indian, Chinese",300,Dine-out
18530,Dinemaster Gogo's,Yes,No,3.4,6,Hosur Road,Quick Bites,NA,"Chinese, Rolls, Beverages",300,Dine-out
18532,Maa Di Hatti,Yes,No,2.8,137,Koramangala 1st Block,Quick Bites,"Saag, Veg Thali",North Indian,500,Dine-out
18536,Kushal's Kitchen,No,No,0,0,Bommanahalli,Casual Dining,NA,"North Indian, South Indian",650,Dine-out
18537,The Hidden Cafe,Yes,No,3.9,95,Koramangala 1st Block,Quick Bites,"Hyderabadi Biryani, Ginger Chicken","North Indian, Fast Food",350,Dine-out
18538,Mangala Hotel,Yes,No,3.6,96,Koramangala 1st Block,Quick Bites,"Masala Dosa, Biryani, Chicken Stew, Tea, Appam, Paratha","Kerala, Chinese, North Indian",300,Dine-out
18539,Pizza Palace,Yes,No,0,0,Bommanahalli,Quick Bites,NA,"Pizza, Fast Food",300,Dine-out
18540,Tirumala Mess,No,No,0,0,Koramangala 1st Block,Mess,NA,"Andhra, Hyderabadi",300,Dine-out
18541,Foodbook Restaurant,No,No,0,0,Bommanahalli,Quick Bites,NA,"South Indian, North Indian, Chinese",400,Dine-out
18542,Skywalk Restobar,No,No,3.3,5,Koramangala 1st Block,"Casual Dining, Bar",NA,"North Indian, South Indian",700,Dine-out
18544,Mamatha Restaurant,Yes,No,2.6,74,Bommanahalli,Casual Dining,NA,"Biryani, Hyderabadi, North Indian",700,Dine-out
18545,Yahiya Restaurant,No,No,0,0,Marathahalli,Casual Dining,NA,"North Indian, Chinese",400,Dine-out
18546,New Mangalore Lunch Home,Yes,No,3.8,36,Koramangala 1st Block,Quick Bites,NA,"Mangalorean, Chinese, North Indian",300,Dine-out
18548,Tanu Di's Kitchen,Yes,No,0,0,Koramangala 1st Block,Quick Bites,NA,"North Indian, South Indian, Bengali",350,Dine-out
18549,Shudh Desi Khana,Yes,No,3.5,18,Koramangala 1st Block,Quick Bites,NA,"North Indian, Chinese",200,Dine-out
18550,Tongue Taste,Yes,No,0,0,Hosur Road,Quick Bites,NA,"North Indian, Chinese, Fast Food",350,Dine-out
18551,Delhi Food Point,Yes,No,3.3,910,Koramangala 1st Block,Quick Bites,"Jeera Rice, Corn Paratha, Paneer Bhurji, Gobhi Matar, Vegetarian, Sweet Lassi, Dal Fry","North Indian, Beverages",250,Dine-out
18552,VegiGate,No,No,0,0,Sarjapur Road,"Cafe, Quick Bites",NA,"Cafe, Chinese",500,Dine-out
18553,Chackochi Mess,No,No,3.3,6,Bommanahalli,Mess,NA,"Kerala, South Indian",250,Dine-out
18554,A.M New Punjab Food Corner,Yes,No,3.5,21,Koramangala 1st Block,Quick Bites,NA,"North Indian, Chinese",350,Dine-out
18555,Sapna bakery,No,No,0,0,Bommanahalli,Quick Bites,NA,"Bakery, Kerala",250,Dine-out
18557,Hot & Cold Juice Cafe,No,No,0,0,Bommanahalli,Quick Bites,NA,"Fast Food, Beverages",250,Dine-out
18558,Hotel Atithi North Karnataka Mess,No,No,0,0,Koramangala 1st Block,Quick Bites,NA,South Indian,200,Dine-out
18561,Kerala Mess,Yes,No,3.4,19,Koramangala 1st Block,Quick Bites,NA,Kerala,200,Dine-out
18562,Malabar Treat,Yes,No,3.4,6,Koramangala 1st Block,Quick Bites,NA,"North Indian, Arabian, South Indian, Chinese",500,Dine-out
18563,Mangala's Tea Time Cafe,Yes,No,0,0,Koramangala 1st Block,Quick Bites,NA,"Tea, Fast Food",150,Dine-out
18564,Loukya Veg Restaurant,No,No,0,0,Bommanahalli,Quick Bites,NA,"North Indian, South Indian, Chinese",300,Dine-out
18565,Momos Corner,No,No,3.1,15,Bommanahalli,Quick Bites,NA,"Chinese, Rolls, Momos",250,Dine-out
18566,Khan Saab Hotel,Yes,No,3.1,16,Bommanahalli,Quick Bites,NA,"North Indian, Biryani, Chinese",300,Dine-out
18568,Nila Cafe,No,No,3.6,16,Bommanahalli,Quick Bites,NA,"Kerala, South Indian",400,Dine-out
18569,The Bar Therapy,No,No,0,0,Koramangala 1st Block,Bar,NA,"Continental, Chinese",800,Dine-out
18570,New Food Corner Kolkata Mess,No,No,0,0,Bommanahalli,Quick Bites,NA,North Indian,400,Dine-out
18573,Smack,No,No,0,0,Koramangala 1st Block,Quick Bites,NA,Fast Food,200,Dine-out
18574,Village Cafe Bangalore,No,No,0,0,Bommanahalli,Quick Bites,NA,"North Indian, South Indian, Kerala, Chinese",350,Dine-out
18575,Vinoth Kitchen,No,No,0,0,Bommanahalli,Quick Bites,NA,"South Indian, Kebab, Chinese, Biryani",250,Dine-out
18576,Sky Bakery and Cafe,No,No,0,0,Bommanahalli,"Bakery, Cafe",NA,"Bakery, Cafe",350,Dine-out
18577,Hot & Spicy Food,No,No,0,0,Bommanahalli,Quick Bites,NA,Chinese,200,Dine-out
18579,Crunch Pizzas,Yes,No,2.6,473,BTM,Quick Bites,"Pie, Thin Crust Pizza, Cheesy Pizza, Pepperoni Pizza, Paneer Pizza","Italian, Pizza",600,Dine-out
18580,Hotel Tadaka House,No,No,3.4,7,Bommanahalli,Quick Bites,NA,"North Indian, Chinese, Biryani",300,Dine-out
18581,Udupi Upahara,No,No,3.7,46,Koramangala 1st Block,Quick Bites,"Filter Coffee, Masala Dosa","South Indian, North Indian",300,Dine-out
18582,Delhi Home Food,No,No,3.3,5,Koramangala 1st Block,Quick Bites,NA,"North Indian, South Indian",200,Dine-out
18583,Eat N Drink,No,No,3.8,32,Bommanahalli,Quick Bites,NA,Fast Food,250,Dine-out
18584,Hotel Thazooq,No,No,3.3,6,Koramangala 1st Block,Quick Bites,NA,"North Indian, Chinese, Biryani",350,Dine-out
18585,Naani'z Biryani,No,No,3.3,6,Koramangala 1st Block,Quick Bites,NA,Biryani,300,Dine-out
18586,Geetha Cafe,No,No,3,12,Bommanahalli,Quick Bites,NA,South Indian,200,Dine-out
18588,Foodys Adda,No,No,3.2,4,Bommanahalli,Quick Bites,NA,Fast Food,300,Dine-out
18591,Chillax,No,No,3.3,4,Bommanahalli,Quick Bites,NA,"Fast Food, Beverages",300,Dine-out
18592,Shri Nandi sagar,No,No,0,0,Koramangala 1st Block,Quick Bites,NA,South Indian,150,Dine-out
18593,New Ambur Dum Biryani,No,No,3.2,7,Koramangala 1st Block,Quick Bites,NA,"Biryani, Kebab",200,Dine-out
18594,Spice Resto,No,No,3.3,5,Bommanahalli,Quick Bites,NA,"Kerala, North Indian, Chinese",400,Dine-out
18596,Sri Bhagya Veg,No,No,0,0,Bommanahalli,Quick Bites,NA,"North Indian, Chinese",300,Dine-out
18597,Aaharam,No,No,4,65,Koramangala 1st Block,Quick Bites,"Chicken Noodle, Noodles, Paneer Lababdar, Paratha","Chinese, North Indian",350,Dine-out
18598,Mughal's,No,No,0,0,Bommanahalli,Quick Bites,NA,"Mughlai, North Indian",500,Dine-out
18601,9 Bowls,Yes,No,0,0,Koramangala 1st Block,Quick Bites,NA,"Healthy Food, Continental, North Indian, Chinese",500,Dine-out
18602,Navi's Kitchen,Yes,No,0,0,Bommanahalli,Quick Bites,NA,"North Indian, Chinese",250,Dine-out
18604,Barbeque Delight,Yes,No,3.7,83,Bommanahalli,Quick Bites,NA,"Arabian, Kerala, North Indian, Chinese, BBQ",800,Dine-out
18605,Chaiwala,Yes,No,3.1,53,Koramangala 1st Block,Quick Bites,"Poha, Bread Omelette, Ginger Chai, Ginger Tea",Fast Food,100,Dine-out
18607,Nagappa Naidu Hotel,No,No,0,0,Bommanahalli,Quick Bites,NA,South Indian,200,Dine-out
18617,Baar Union,No,Yes,4.6,634,HSR,"Bar, Pub","Masala Peanuts, Onion Rings, Cocktails, Biryani, Veg Momos, Pinacolada, Pakoda","Continental, Finger Food, Asian, Chinese",850,Drinks & nightlife
18624,SMS: Stop Making Sense,No,No,0,0,HSR,Quick Bites,NA,"Chinese, Continental, North Indian",400,Drinks & nightlife
18635,Baar Union,No,Yes,4.6,634,HSR,"Bar, Pub","Masala Peanuts, Onion Rings, Cocktails, Biryani, Veg Momos, Pinacolada, Pakoda","Continental, Finger Food, Asian, Chinese",850,Pubs and bars
18644,Safe House,No,Yes,4.1,1372,HSR,"Bar, Casual Dining","Prawn, Masala Peanuts, Honey Chilli Potatoes, Craft Beer, Mushroom Noodles, Cocktails, Pizza","Continental, North Indian, Chinese, Finger Food",900,Pubs and bars
18658,Akshaya Bar And Restaurant,Yes,No,0,0,Koramangala 1st Block,"Casual Dining, Bar",NA,"North Indian, South Indian, Chinese, Fast Food",600,Pubs and bars
18661,Skywalk Restobar,No,No,3.3,5,Koramangala 1st Block,"Casual Dining, Bar",NA,"North Indian, South Indian",700,Pubs and bars
18662,The Bar Therapy,No,No,0,0,Koramangala 1st Block,Bar,NA,"Continental, Chinese",800,Pubs and bars
18680,Southindies,No,Yes,4.1,1224,Indiranagar,Casual Dining,"Pongal, Appam, Elaneer Payasam, Gulab Jamun, Rava Idli, Veg Buffet, Lunch Buffet","South Indian, Chettinad, Kerala, Sri Lankan",800,Buffet
18683,Empire Restaurant,Yes,No,4.2,8176,Indiranagar,Casual Dining,"Dum Biryani, Fiery Chicken, Butter Chicken, Pepper Chicken, Paneer Tikka Masala, Chicken Grill, Corn Paratha","North Indian, Mughlai, South Indian, Chinese",750,NA
18687,Aagaman Veg,Yes,No,4,555,Indiranagar,Casual Dining,"Jalebi, Lunch Buffet, Dal Kichadi, Panneer Butter Masala, Crispy Corn, Dal Makhani, Gulab Jamun","North Indian, Chinese, South Indian",900,Buffet
18693,Annapoorani,No,No,3.9,434,Indiranagar,Casual Dining,"Filter Coffee, Deluxe Thali, Jolada Rotti, Ghee Roast Dosa, Pongal, Idiyappam, Akki Rottis",South Indian,400,Buffet
18694,Srinathji's,Yes,Yes,3.6,592,Indiranagar,Casual Dining,"Palak Khichdi, Hyderabadi Biryani, Seekh Kebab, Chole, Naan, Chaat, Fries","Biryani, Chinese, Continental, North Indian, Pizza",850,Buffet
18696,Flavors of India,No,No,0,0,Indiranagar,Casual Dining,NA,"North Indian, South Indian, Andhra, Continental",600,Buffet
18711,Java,No,No,3.7,39,Old Airport Road,Casual Dining,NA,"North Indian, Chinese",700,Buffet
18712,House Of Seitan,Yes,No,0,0,Indiranagar,Cafe,NA,"Cafe, Healthy Food, Salad, Beverages",700,Cafes
18713,Cup Chronicles Cafe,Yes,Yes,3.9,48,Indiranagar,Cafe,NA,"Cafe, Continental, Tea, Beverages, Desserts",450,Cafes
18716,Truffles,No,No,4.6,1308,Indiranagar,"Cafe, Casual Dining","Burgers, Pasta, Crunchy Veg Burger, American Cheese Burger, Peri Peri Chicken Burger, Mojito, Chicken Paprika","Cafe, American, Burger, Steak",900,NA
18718,Lavonne,No,No,4.4,1095,Indiranagar,"Cafe, Dessert Parlor","Coffee, Burgers, Croissants, Pasta, Cheesecake, Sandwich, Spaghetti","Cafe, Desserts",800,Cafes
18719,Glen's Bakehouse,Yes,No,4.2,5295,Indiranagar,"Bakery, Cafe","Coffee, Pizza, Cheesecake, Pasta, Potato Salad, Sandwiches, Chicken Pot Pie","Bakery, Cafe, Italian, Desserts",600,NA
18721,The Teal Door Cafe,Yes,No,4.2,1852,Indiranagar,Cafe,"Mocktails, Sandwiches, Mushroom Soup, Idli Platter, Nachos, Appam, Egg Dosa","Cafe, Continental",800,NA
18723,Smoor,Yes,No,4.6,1687,Indiranagar,"Dessert Parlor, Cafe","Hot Chocolate, Chocolate Pastry, Cheesecake, Chocolate Sundae, Coffee, Chips, Macaroon","Desserts, Cafe, Beverages",900,Cafes
18724,Onesta,Yes,Yes,4.3,4644,Indiranagar,"Casual Dining, Cafe","Bbq Pizza, Choux Pastry, Bbq Chicken, Tiramisu, Barbeque Chicken, Chicken Calzone, Pasta","Pizza, Cafe, Italian",600,Cafes
18727,The Yogisthaan Cafe,Yes,No,4.2,1203,Indiranagar,Cafe,"Salads, Sandwich, Pasta, Tea, Hot Chocolate, Paella, Banana Smoothie","Cafe, Healthy Food, Salad, Beverages",600,Cafes
18729,Monet's Bistro,No,No,4.5,197,Indiranagar,Cafe,"Burgers, Macaroon, Coffee, Eclair, Sandwich, Fries, Hot Chocolate","Cafe, Beverages",600,Cafes
18731,Chai Days,Yes,No,4.4,105,Indiranagar,Cafe,"Ginger Tea, Samosa, Masala Chai, Saffron Chai, Banana Walnut Cake","Cafe, Tea, Beverages, Fast Food",200,Cafes
18732,Cafe Terra,Yes,No,4.2,391,Indiranagar,Cafe,"English Breakfast, Waffles, Chicken Lasagne, Pasta, Watermelon Juice, Momos, Thukpa","Cafe, Continental, Fast Food",500,Cafes
18733,Stoner,Yes,No,4.5,2687,Indiranagar,"Dessert Parlor, Cafe","Tiramisu Ice Cream, Chocolate Overload, Paneer Tikka Pizza, Hot Chocolate, Chicken Chilli Pizza, Mango Tango, Chocolate Lava","Ice Cream, Cafe, Beverages, Burger, Desserts, Pizza",550,Cafes
18735,Bean Flickers,Yes,No,4.3,391,Indiranagar,Cafe,"Burgers, Coffee, Mutton Burger, Sandwiches, Hot Chocolate, Fries, Sandwich","Cafe, American, Fast Food, Coffee, Continental",700,Cafes
18736,Third Wave Coffee Roasters,No,No,4.2,311,Indiranagar,Cafe,"Wedges, Chicken Sandwich, Sandwiches, Cappuccino, Gourmet Coffee, Cheesecake, Fries","Cafe, Continental, Desserts",800,Cafes
18737,Dhyaana,Yes,No,4.3,153,Indiranagar,Cafe,"Paneer Roll, Momos, Thali, Chai, Corn Bhel, Momo Platter, Corn Momo","Cafe, Healthy Food, Momos",600,Cafes
18738,The Ants Cafe & Store,Yes,Yes,3.9,1380,Indiranagar,Cafe,"English Breakfast, Coffee, Watermelon Feta Salad, Waffles, Salads, Pasta, Hazelnut Cappuccino","Cafe, Italian",900,Cafes
18740,Waffle Magic,No,No,4.2,583,Indiranagar,Cafe,"Wedges, Chicken Waffles, Sandwiches, Blueberry Waffles, Blueberry Pancakes, Fruit Pancake, Belgian Waffles","Cafe, Desserts",700,Cafes
18741,Gobble Up Churros Cafe,Yes,No,4.3,371,Indiranagar,Dessert Parlor,"Churros, Empanadas, Hot Chocolate, Chocolate Banana, Salad, Chocolate Shake, Patata Bravas","Street Food, Continental, Mexican, Beverages, Cafe, Desserts, Spanish",400,NA
18743,Matteo Coffea,No,No,4.2,858,Indiranagar,Cafe,"Coffee, Salad, Club Sandwiches, Pasta, Sandwich, Burgers, Cappuccino",Cafe,600,Cafes
18744,Spoonful Of Sugar,No,No,4,861,Indiranagar,"Dessert Parlor, Cafe","Chicken Lasagne, Bannoffee Pie, Cup Cake, Salad, Salads, Nutella Cheesecake, Tiramisu","Desserts, Bakery, Cafe",800,Cafes
18745,Mama Mia!,Yes,No,4.3,420,Indiranagar,"Dessert Parlor, Cafe","Gelato, Strawberry Sundae, Hot Chocolate, Brownie, Wedges, Peri Peri Fries, Thick Shakes","Desserts, Cafe",400,Cafes
18746,Cafe Braqa,Yes,Yes,4,144,Indiranagar,Cafe,"Ginger Tea, Cup Cake, Sandwich, Pasta, Cappuccino, Pizza, Cheese Sticks","Cafe, Italian, Continental, Beverages",700,Cafes
18747,Smally's Resto Cafe,Yes,No,4,399,Indiranagar,Cafe,"Burgers, Peri Peri Chicken Steak, Pasta, Pizza, Meat Balls, Hot Chocolate, Beef Burger","Cafe, Italian, Burger, American, Steak",650,NA
18749,Tea Brew,Yes,No,4.1,1141,Indiranagar,"Cafe, Casual Dining","Momos, Wedges, Chai, Veg Club Sandwich, Masala Tea, Pasta, Waffles","Cafe, Continental, Momos, Italian, North Indian",500,Cafes
18750,Starbucks,No,No,4.2,583,Indiranagar,Cafe,"Coffee, Hot Chocolate, Chocolate Muffin, Cappuccino, Sandwiches, Latte, Croissants","Cafe, Desserts",700,Cafes
18751,CafSecret Alley,Yes,No,3.9,84,Indiranagar,Cafe,"Burgers, Pasta, Chicken Wings, Chicken Popcorn, Chicken Burger, Cheese Corn Balls","Fast Food, Cafe",450,Cafes
18752,Django,Yes,Yes,4,209,Indiranagar,Cafe,"Burgers, Pizza, Coffee, Peri Peri Chicken Wings, Beef Burger, Mango Salad, Chicken Burger","Cafe, Italian, Pizza, Burger, Beverages",800,Cafes
18753,Tata Cha,Yes,No,3.9,660,Indiranagar,Cafe,"Poha, Masala Tea, Hot Chocolate, Gulkand Chai, Kadak Chai, Iced Peach Tea, Bun Maskas","Cafe, Tea, North Indian",500,NA
18755,Biggies Burger 'n' More,Yes,No,4.3,184,Indiranagar,Quick Bites,"Burgers, Mojito, Sea Food, Hot Dog, French Fries, Crab Burger, Peri Fries","Cafe, Burger, Beverages",650,Cafes
18756,Yomama!!,Yes,Yes,4,339,Indiranagar,Quick Bites,"Burgers, Steak, Pancakes, Beef Burger, Oreo Thick Shakes, Chicken Juicy Burger, Pasta","Continental, Burger, Cafe, Steak",800,Cafes
18757,The Mad Teapot,No,Yes,4.1,287,Indiranagar,Cafe,"Tea, Pasta, Sandwiches, Hot Chocolate, Sandwich, Pizza, Spaghetti",Cafe,850,Cafes
18758,Grubhouse,Yes,No,4.1,332,Indiranagar,"Casual Dining, Cafe","Burgers, Pasta, Caramel Custard, Crispy Corn, Mutton Curry, Lemonade, Fries","Continental, Cafe, Steak",800,Cafes
18759,Lahe Lahe Santhe,No,No,3.7,17,Indiranagar,Cafe,NA,"Cafe, Beverages",300,Cafes
18760,Eddy's Cafe,Yes,No,4.1,137,Indiranagar,Cafe,"Dark Chocolate Shake, Cappuccino, Pancakes, Hot Chocolate, Wedges, Waffles, Garlic Bread","Cafe, American, Salad, Continental, Healthy Food, Italian, Coffee, Desserts",750,Cafes
18761,Lakeview Milkbar,No,No,2.9,539,Indiranagar,"Dessert Parlor, Cafe","Sandwiches, Brownie, Chicken Sandwich, Pizza, Hot Chocolate, Chocolate Sundae, Icecream Cake","Desserts, Cafe, Bakery",500,Cafes
18762,Chantilly,Yes,No,4.1,114,Indiranagar,"Cafe, Bakery","Cheesecake, Sandwiches, Tiramisu, Coffee, Hot Chocolate, Red Velvet Cake, Brownie","Cafe, Bakery",450,Cafes
18763,iSpice Resto Cafe,Yes,No,3.7,28,Indiranagar,Cafe,NA,"Cafe, North Indian, Chinese, Fast Food",600,Cafes
18764,Give Me 5 Cafe,No,No,3.4,90,Indiranagar,Cafe,"Pasta, Sandwiches, Ginger Tea, Salad, Sandwich","Cafe, Continental",500,Cafes
18765,Tea Journey,Yes,No,3.8,71,Indiranagar,Cafe,"Ginger Tea, Chai, Pasta, Maggi, Vada Pav, Pizza, Sandwich",Cafe,500,Cafes
18766,J's Cafe,No,No,3.9,155,Indiranagar,Cafe,"Coffee, Pizza, Pasta, Broccoli Soup, Tea, Hot Chocolate, Stuffed Mushroom","Cafe, Continental",700,NA
18768,Costa Coffee,No,No,3.8,209,Indiranagar,Cafe,"Cappuccino, Sausage Roll, Chicken Sandwich, Chocolate Muffin, Hot Chocolate, Hot Coffee, Americano","Cafe, Fast Food",500,Cafes
18770,Cafe Coffee Day,Yes,No,3.7,72,Indiranagar,Cafe,"Coffee, Brownie","Cafe, Fast Food",900,Cafes
18771,Chai Cafe,No,No,3.9,49,Indiranagar,Cafe,"Kadak Chai, Cutting Chai, Ginger Tea, Vada Pav, Samosa Bun",Cafe,200,Cafes
18772,Cup Shup,Yes,No,2.8,185,Indiranagar,Cafe,"Sandwiches, Coffee, Burgers, Chicken Wrap, Rolls, Ginger Tea, Chicken Sandwich","Cafe, Continental, Fast Food",500,Cafes
18773,Sunny Side Bistro,No,No,3.7,69,Indiranagar,Cafe,Hot Chocolate,"Cafe, Continental",700,Cafes
18774,Raenss Cafe,Yes,No,2.4,127,Indiranagar,Cafe,"Burgers, Hot Dog, Coffee, Hot Chocolate, Sandwich, Double Choco Mocha, Fish N Chips","Cafe, Fast Food, Chinese",600,NA
18776,UBCR,Yes,No,3.3,5,Indiranagar,"Cafe, Quick Bites",NA,"Italian, American, Chinese, Arabian, North Indian, Cafe",350,Cafes
18777,Breadworks,Yes,No,2.9,48,Indiranagar,"Bakery, Cafe","Sandwich, Coffee, Sandwiches, Brownie, Pizza","Bakery, Cafe",500,Cafes
18778,Melting Spot,No,No,4,134,Indiranagar,"Cafe, Dessert Parlor","Sandwiches, Pav Bhaji, Ice Cream Roll, Sev Puri, Vada Pav, Sandwich, Dabeli","Cafe, Desserts, Beverages, Italian",600,Cafes
18779,Planet Popcorn,No,No,0,0,Indiranagar,Cafe,NA,Cafe,200,Cafes
18780,C-harge by Chefkraft,No,No,3.4,7,Indiranagar,Cafe,NA,"Cafe, Continental",600,Cafes
18781,Cross Roads Cafe,Yes,No,3,59,Indiranagar,Cafe,"Mojito, Fajitas","Cafe, Italian, Tex-Mex, Fast Food, Burger",500,Cafes
18782,Fog City Cafe,Yes,No,0,0,Indiranagar,Cafe,NA,Fast Food,500,Cafes
18784,Talk Over Table,No,No,4,282,Jeevan Bhima Nagar,Cafe,"Coffee, Broccoli Soup, Chicken Ceaser Salad, Chicken Burger, Wedges, Pasta, Pancakes",Cafe,500,Cafes
18785,D'Cafe,No,No,3.8,16,Domlur,Cafe,NA,"Cafe, Coffee, Continental",500,Cafes
18786,Chaai Resto,Yes,No,0,0,Jeevan Bhima Nagar,Cafe,NA,"Cafe, Rolls, Fast Food",200,Cafes
18787,St. Mary's Cafe,No,No,0,0,Thippasandra,"Takeaway, Delivery",NA,"Cafe, Chinese, South Indian",150,Cafes
18788,Cafe Oleiva,No,No,3.4,6,Thippasandra,Cafe,NA,Cafe,500,Cafes
18789,Cafe Velvette,No,No,3.5,11,Domlur,"Cafe, Dessert Parlor",NA,"Cafe, American, Italian, Continental",400,Cafes
18790,Hot Spot Cafe,No,No,2.9,17,Domlur,Cafe,NA,"Cafe, Fast Food",150,Cafes
18791,Aahar Cafe,No,No,0,0,Thippasandra,Cafe,NA,Cafe,300,Cafes
18792,9th Cross Cafe,No,No,3.6,12,Jeevan Bhima Nagar,Cafe,NA,"Cafe, Italian, French",550,Cafes
18798,Marzipan Cafe & Bakery,Yes,No,4.2,430,Ulsoor,"Cafe, Bakery","Coffee, Cheesecake, Chicken Baguette, Pasta, Mudcake, Wedges, Hot Chocolate","Cafe, Mediterranean, Bakery, Greek",700,Cafes
18799,Brown Crust Cafe,No,No,2.9,18,Old Airport Road,Cafe,NA,"Cafe, Italian, Desserts",300,Cafes
18800,The Chocolate Heaven,Yes,No,3.8,135,Old Airport Road,"Dessert Parlor, Cafe","Paneer Pizza, Sizzler Brownie, Hot Chocolate, Pancakes, Pasta, Coffee, Nutella Waffle","Desserts, Cafe, Italian, Beverages",700,Cafes
18802,Barista,No,No,3.2,11,CV Raman Nagar,Cafe,NA,Cafe,300,Cafes
18804,The Coffee Bean & Tea Leaf,Yes,No,3.8,259,MG Road,Cafe,"Coffee, Sandwiches, Blueberry Muffin, Pancakes, Espresso, Cappuccino, Cheesecake",Cafe,700,Cafes
18805,Zawaa Foods,Yes,No,0,0,Old Airport Road,Quick Bites,NA,"Continental, South Indian, North Indian, Arabian",400,Delivery
18806,eat.fit,Yes,No,4.4,845,Indiranagar,Delivery,"Sandwiches, Salads, Chicken Curry, Dal Makhani, Noodles, Apple Mojito, Shrikhand","Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500,NA
18808,Sri Udupi Park,Yes,No,4.2,770,Indiranagar,Quick Bites,"Idli Vada, Tea, Masala Dosa, Filter Coffee, Pav Bhaji, Kesari Bath, Chaat","South Indian, North Indian, Chinese, Beverages",300,Delivery
18809,Delite Chaat House,Yes,No,4,450,Indiranagar,Quick Bites,"Chaat, Dabeli, Pav Bhaji, Sandwiches, Farsan, Sandwich, Vada Pav","Street Food, Gujarati",300,Delivery
18810,Donne Biriyani House,Yes,No,4,472,Indiranagar,Quick Bites,"Pepper Chicken, Chicken Biryani, Mutton Biryani",Biryani,300,Delivery
18811,Chai Days,Yes,No,4.4,105,Indiranagar,Cafe,"Ginger Tea, Samosa, Masala Chai, Saffron Chai, Banana Walnut Cake","Cafe, Tea, Beverages, Fast Food",200,Delivery
18812,Shanmukha,Yes,No,3.8,138,Old Airport Road,Casual Dining,"Fish, Chicken Curry, Paneer Biryani","Biryani, Andhra, North Indian, Chinese",800,Delivery
18814,Tripura Express,Yes,No,2.9,156,Old Airport Road,"Takeaway, Delivery",NA,"Pizza, Beverages",450,Delivery
18815,BOX8- Desi Meals,Yes,No,4.3,314,Indiranagar,"Takeaway, Delivery","Paratha, Biryani, Dal Makhani, Rolls, Salad, Sandwiches, Chicken Curry","North Indian, Mughlai, Fast Food",500,Delivery
18816,Sree Spicy Hub,Yes,No,3.9,224,Jeevan Bhima Nagar,Casual Dining,"Chicken Biryani, Dum Biryani, Hyderabadi Style Biryani, Chicken Kebab","Andhra, Biryani, South Indian",600,Delivery
18818,Burger King,Yes,No,4,1391,Indiranagar,Quick Bites,"Burgers, Tandoori Grill Burger, Mango Shake, Cheesy Fries, Whopper Burger, Chicken Keema Burger, Chicken Crisp Burger","Burger, Fast Food, Beverages",600,Delivery
18821,Chandni Chowk 2 Bangalore,Yes,No,4.2,241,Jeevan Bhima Nagar,Quick Bites,"Paratha, Soya Chaap, Lassi, Tandoori Chaap, Malai Chaap, Biryani, Gulab Jamun","North Indian, Rolls",400,Delivery
18822,Shahi Family Restaurant,Yes,No,3.6,66,Ulsoor,Quick Bites,NA,"North Indian, Chinese, South Indian",350,Delivery
18823,Gurukrupa Paratha House,Yes,No,3.9,639,Old Airport Road,Casual Dining,"Paratha, Tikka, Rajma, Sweet Lassi, Murgh Patiala, Paneer Lababdar, Dal Makhani","North Indian, Chinese",400,Delivery
18824,FreshMenu,Yes,No,3.8,1082,Indiranagar,Delivery,"Salads, Burgers, Sandwiches, Pizza, Pasta, Fish, Salad","Asian, Continental, Mediterranean, Salad, American, Biryani",450,Delivery
18825,Dal Roti Sabji,Yes,No,4.1,81,Indiranagar,Quick Bites,"Kadhai Paneer, Paratha",North Indian,150,Delivery
18826,Red Kitchen,Yes,No,3.2,146,Jeevan Bhima Nagar,Quick Bites,NA,"North Indian, South Indian, Chinese",200,Delivery
18828,Fresh Aahar,Yes,No,3.9,37,Indiranagar,Quick Bites,NA,"Biryani, Mangalorean, Kerala",400,Delivery
18831,Punjabi Dhaba,Yes,No,3.4,351,Ejipura,Quick Bites,"Butter Chicken, Paratha","North Indian, Chinese",350,Delivery
18832,Sagar Deluxe,Yes,No,3.4,148,Jeevan Bhima Nagar,Quick Bites,"Idli Vada, Filter Coffee, Masala Dosa, Curd Rice","South Indian, North Indian, Chinese",350,Delivery
18833,XO Belgian Waffle,Yes,No,4.3,78,Indiranagar,Dessert Parlor,"Chocolate Waffles, Hot Chocolate, Nutella Waffle","Desserts, Beverages",400,Delivery
18834,Moto Store & Caf,Yes,No,4.2,380,Ulsoor,Cafe,"Wedges, Maggi, Burgers, Waffles, Margherita Pizza, Aam Panna, Tea","Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",500,Delivery
18835,Hotel Dil Coorg,Yes,No,3.6,78,Ulsoor,Quick Bites,NA,"North Indian, South Indian",300,Delivery
18836,Bharpur Aahar,Yes,No,3.9,418,Jeevan Bhima Nagar,Quick Bites,Biryani,"North Indian, Chinese",200,Delivery
18837,Corner House Ice Cream,Yes,No,4.7,2139,Indiranagar,Dessert Parlor,"Hot Chocolate Fudge, Chocolate Mousse, Brownie Fudge Sundae, Almond Fudge, Banana Split, Ice Cream Sundae, Apple Pie","Ice Cream, Desserts",400,Delivery
