,Name,Online_Order,Book_Table,Rating,Votes,Location,Rest_Type,Dish_Liked,Cuisines,Approx_Cost,Type
12090,FrostBite,No,No,3.5,15,Koramangala 5th Block,"Dessert Parlor, Quick Bites",NA,"Desserts, Fast Food",400,Dine-out
12094,Jodhpur Jaika,No,No,3.3,4,Bommanahalli,Quick Bites,NA,"North Indian, Street Food",200,Dine-out
12095,Lets cafe,No,No,3.5,6,Koramangala 5th Block,Quick Bites,NA,"Chinese, North Indian",250,Dine-out
12096,Snaiksa Foods,No,No,0,0,HSR,Quick Bites,NA,"North Indian, South Indian",300,Dine-out
12098,Food Treat,No,No,0,0,Koramangala 1st Block,Quick Bites,NA,"North Indian, Chinese, Kerala",400,Dine-out
12101,Woodee Pizza,Yes,No,2.7,85,JP Nagar,Cafe,"Pizza, Lemonade, Chilli Cheese Fries, Thick Shakes","Cafe, Pizza, Fast Food, Beverages",500,Dine-out
12102,Pappu Da Dhaba,Yes,No,3,57,Jayanagar,Quick Bites,"Lassi, Chai, Paratha","North Indian, Fast Food, Beverages, Momos",400,Dine-out
12104,The Denny's,No,No,3.7,91,Jayanagar,Casual Dining,"Palak Rice, Draught Beer","North Indian, Chinese",900,Dine-out
12105,Tapri By The Corner,Yes,No,4.1,205,Koramangala 5th Block,Quick Bites,"Tea, Chole, Khichda, Butter Paneer, Paneer Bhurji, Paratha, Masala Chai",Fast Food,250,Dine-out
12107,Kakal-Kai Ruchi,No,No,3.8,89,JP Nagar,Quick Bites,"Dahi Vada, Masala Dosa, Coffee, Chaat, Roti","Fast Food, North Indian, Chinese, South Indian",400,Dine-out
12108,Sri Lakshmi Dhaba,No,No,3,17,Bommanahalli,Quick Bites,NA,"North Indian, Chinese",300,Dine-out
12109,Hotel Smile,Yes,No,3.1,6,Jayanagar,Casual Dining,NA,"North Indian, Chinese",550,Dine-out
12111,Siddique Kabab Centre,Yes,No,3.1,68,Jayanagar,Quick Bites,"Chicken Grill, Rumali Roti, Rolls","Mughlai, Kebab, Chinese",550,Dine-out
12112,Sulaimani Chai,No,No,3.8,21,Koramangala 5th Block,Quick Bites,NA,"Fast Food, Beverages",100,Dine-out
12113,Khan Saheb Grills and Rolls,Yes,No,3.8,62,Hosur Road,Quick Bites,"Rolls, Veggie Roll, Chicken Tikka Roll, Beda Roti","Fast Food, Rolls",350,Dine-out
12114,Fresh Kitchen,Yes,No,3.4,15,Bannerghatta Road,Casual Dining,NA,"North Indian, Chinese",600,Dine-out
12115,Ambara Gardenia,Yes,Yes,3.8,256,Bannerghatta Road,Casual Dining,"Fish Fry, Crab Sukha, Chicken Biryani, Fish Curry, Murgh Ghee Roast, Roti, Naan","Andhra, North Indian, Chinese, Seafood",800,Dine-out
12116,Sri Ganesh Juice Corner,No,No,3,9,Koramangala 5th Block,Quick Bites,NA,"Juices, Fast Food",150,Dine-out
12117,Hotel Khaaja,Yes,No,3.1,69,Bannerghatta Road,Quick Bites,NA,"Biryani, Fast Food",250,Dine-out
12118,Biryani Junction,Yes,No,2.3,298,Bommanahalli,Quick Bites,"Raita, Vegetable Biryani, Biryani Combo","Biryani, North Indian, Chinese",450,Dine-out
12119,Cafe Mist,Yes,No,3.8,187,JP Nagar,Cafe,"Barbecue Chicken Burger, Coffee, Ice Tea, Peri Peri Chicken, Pasta, Maggi, Nachos","Cafe, American, Continental, Italian",500,Dine-out
12120,Navya's,Yes,No,2.5,47,Bommanahalli,Casual Dining,NA,"Hyderabadi, Biryani, North Indian",800,Dine-out
12187,Daawat Restaurant Bar & Pub,Yes,No,3.5,9,Koramangala 7th Block,"Bar, Casual Dining",NA,"Finger Food, North Indian, Seafood, Mangalorean, Chinese",700,Drinks & nightlife
12200,Shiva's Bar And Restaurant,No,No,0,0,BTM,"Bar, Casual Dining",NA,"South Indian, North Indian, Fast Food",800,Pubs and bars
